id,num_RV,num_samples,MCMC,unimodal
2076063152230925312,3,256,0,0
2076063156538853632,7,256,0,0
2076063328337585024,3,256,0,0
2076063362697328256,7,256,0,0
2076063465776549632,6,256,0,0
2076063568855737728,7,256,0,0
2076063603215485184,3,256,0,0
2076063740654455680,8,256,0,0
2076063946812842880,3,256,0,0
2076064015532315392,7,256,0,0
2076064084251764096,3,256,0,0
2076064084251768064,6,256,0,0
2076064668367353728,3,256,0,0
2076064737086848000,3,256,0,0
2076064874525839744,6,256,0,0
2076064908885584768,3,256,0,0
2076065080684284288,7,256,0,0
2076065183763486464,7,256,0,0
2076065218123214208,3,256,0,0
2076065419973653632,3,256,0,0
2076065424281683584,3,256,0,0
2076065458641430528,7,256,0,0
2076065561720652160,7,256,0,0
2076065699159591296,3,256,0,0
2076065836598553728,7,0,1,1
2076065974037663232,3,256,0,0
2076066145836177408,4,256,0,0
2076066180195900160,3,256,0,0
2076066180198015744,5,256,0,0
2076066248915354368,3,256,0,0
2076066420714081664,6,256,0,0
2076066489433553920,3,256,0,0
2076066828726173952,6,256,0,0
2076066901752525440,3,256,0,0
2076067176628208768,6,256,0,0
2076067275402192256,7,42,0,0
2076067588945086336,3,256,0,0
2076067623304851456,6,256,0,0
2076067760743816576,3,256,0,0
2076067760743817472,3,256,0,0
2076067760743820032,3,256,0,0
2076067932542496000,7,0,1,1
2076067932542498560,3,256,0,0
2076068035621721728,5,256,0,0
2076068173060601600,3,256,0,0
2076068271834837248,3,256,0,0
2076068310499578496,3,256,0,0
2076068413570181632,3,256,0,0
2076068860255440640,5,256,0,0
2076068890310424960,3,256,0,0
2076068894615192832,3,256,0,0
2076069032054110208,8,256,0,0
2076069062109136000,3,256,0,0
2076069066413835648,5,256,0,0
2076069513090518016,3,256,0,0
2076069543142253056,6,256,0,0
2076069616169707776,3,256,0,0
2076069994126891520,3,256,0,0
2076070131565828480,7,256,0,0
2076070440803424384,3,256,0,0
2076070715681319936,3,256,0,0
2076070848816028800,7,256,0,0
2076070887480044544,3,256,0,0
2076071059278765184,7,256,0,0
2076071093638513536,7,256,0,0
2076071127998239488,3,256,0,0
2076071368516604160,6,256,0,0
2076073808057604992,3,256,0,0
2076074220374495104,3,256,0,0
2076074387874312064,6,256,0,0
2076074460892691200,3,256,0,0
2076074701401939328,6,256,0,0
2076080302048246912,3,256,0,0
2076080370767715456,7,256,0,0
2076080572621563520,3,256,0,0
2076080817444353920,3,256,0,0
2076080954883329536,3,256,0,0
2076081092322249216,3,256,0,0
2076081264121193984,4,256,0,0
2076082775942073984,3,256,0,0
2076083188266601472,3,256,0,0
2080059640783332096,3,256,0,0
2080061393129929088,5,256,0,0
2080062630080516864,4,256,0,0
2080062973677923840,7,238,0,0
2080063179836362880,3,256,0,0
2080063317275335168,3,256,0,0
2080063729592203392,4,256,0,0
2080064206327319552,3,256,0,0
2080064485506449152,3,256,0,0
2080064515564300160,4,256,0,0
2080064588585669632,3,256,0,0
2080064653004009088,6,256,0,0
2080064657305128832,4,256,0,0
2080064726025932800,3,256,0,0
2080084654674211456,3,256,0,0
2080085582385980288,5,256,0,0
2080086338300219136,4,256,0,0
2080086338300220032,3,256,0,0
2080086716257347328,3,256,0,0
2080087162933787008,9,0,1,1
2080087266013008512,4,256,0,0
2080087643970202624,5,256,0,0
2080087884488379776,3,256,0,0
2080088331164882560,6,39,0,0
2080088395582464128,3,256,0,0
2080089258877964288,3,256,0,0
2080089396316882688,4,256,0,0
2080089396316887424,3,256,0,0
2080089598179046016,5,256,0,0
2080089705554570368,3,256,0,0
2080089877353287040,4,256,0,0
2080090220950601856,3,256,0,0
2080090289670075264,6,256,0,0
2080090427109053568,9,256,0,0
2080090461468747904,5,256,0,0
2080090495828501888,3,256,0,0
2080090770706463360,3,256,0,0
2080091079944085632,3,256,0,0
2080092179455846400,3,256,0,0
2080092312592633216,3,256,0,0
2080092381313086976,3,256,0,0
2080092901011453568,4,256,0,0
2080093210247977600,9,256,0,0
2080095924667289216,6,47,0,0
2080096268264701184,4,256,0,0
