Gaia,Per,BP-RP,Gmag,e_BP-RP,e_Gmag,num_RV
2128109123549687680,3.15,0.6933792788105038,14.022416554799102,0.0004006172341337657,0.00025423454574267153,3
2128109123549689856,13.248,1.1195010548329503,15.592309250273459,0.0011876743147470952,0.0005424110564182485,10
2128111700529584000,11.079,1.1575664770653535,16.281749367335294,0.0025085896630312045,0.0006156769104131241,1
2128111700529585024,11.2,1.2114571540763297,16.51414778366342,0.0017950563854882305,0.0006029014989490072,4
2128111975407524480,10.124,0.8595548375568605,15.061643185415392,0.00038859904938018993,0.0005973069159969015,1
2128112009767272704,0.668,0.34866248584508774,11.354982225753862,0.00025046867142545555,0.00027312845172525175,3
2128112181565948800,10.44,1.130774593663089,16.16120050665761,4.294605865786533e-05,0.0005442770161285909,3
2128112731322020608,3.923,0.19004802782144026,12.23016894347866,9.366852106344715e-05,0.00022158346826388635,1
2128114964704946048,13.609,1.4224300535827297,17.123269968129794,0.0037433466657225906,0.0007430858939375112,1
2128116540951535744,11.377,1.3305260209009369,16.85524777129989,0.00532972265308063,0.000758435286912,3
2128117095008800384,10.17,0.9138043687164537,14.65174551716068,0.00018787918874698393,0.00033778404643218545,4
2128118057081550464,1.876,0.6684471468299087,13.931604471676579,0.00033000736989937524,0.0002680874489108054,4
2128118228880232704,17.68,1.4881950006487088,17.320855238098787,0.0043667994188276394,0.0008146156223025875,1
2128118327657867776,13.16,1.6178303741648925,17.598582662998968,0.011899186821737894,0.000995960429544983,1
2128118362018716672,0.585,0.3718597787230351,12.190761007033954,0.0002647743635532333,0.000218943291213812,4
2128118362018931328,0.664,0.5414376327850139,13.199042141630619,0.0002218512946772788,0.00038165120743736383,1
2128118572477645824,12.202,1.3151976400414966,16.79985187504598,0.002847462674675868,0.0005955370342984567,2
2128118572477647360,0.954,0.612801975840199,12.925662628967032,9.521659143429896e-05,0.0003634302918690225,3
2128118881715293440,0.462,0.4582681506789683,12.532703864802597,0.0002927857210051181,0.00018003346849644055,4
2128118916075039360,10.029,1.0988789003011927,16.126660210013515,0.002004158378811002,0.0005623878875170771,1
2128119087873694208,11.424,1.3382372133409426,16.74530787950183,0.0014690275990243075,0.0006116697080261745,3
2128119087873695232,10.21,0.9250370934390642,15.188901421050282,0.0005681835422555899,0.00047047033061912476,3
2128119190952918016,5.05,0.7615540247007164,14.315698878567677,-6.0676440500555696e-05,0.00030368269835136805,3
2128119568910037632,1.019,0.5609732891980101,13.224944922208442,0.001099534916333376,0.0005950931736921656,4
2128119671989265024,1.037,0.6396296920400495,13.581735152994936,0.0001022420898689222,0.00027141231587692657,2
2128119671989269504,11.108,1.0787102447195824,15.988156041949122,0.0009633342901473507,0.0005337437222871492,2
2128119775068504576,1.528,0.37616019983382465,11.834448360804588,0.0002535239522959114,0.00019727537441895538,1
2128119878147692160,8.41,0.6311273659919081,13.600080089337368,0.0003940175626688647,0.0002659411610405672,4
2128119878147696256,11.477,0.5170990162675437,12.68870209840097,0.0002804903400764544,0.0002094732186202868,9
2128120221745121920,4.404,0.3583126219311712,11.457141477247168,3.389647793428736e-05,0.0002996053872100296,2
2128120256104862464,11.003,0.938145970109213,15.397763286289852,-8.581211169684123e-05,0.000655996575854449,3
2128120324824363136,25.845,0.589360954666887,13.427754521375249,0.00023017887010873391,0.0002729193539628639,3
2128120393543835648,10.521,1.252366400532141,15.887653642835604,0.001336664085638795,0.00041798874027645146,6
2128120492322841728,12.95,1.5313693059896067,17.382687285989117,0.0034511614077617917,0.0009219461989896704,2
2128120634061986560,0.108,0.3948511051813206,12.014272961371336,0.0005023786576054082,0.00034649139081957623,3
2128120702781491072,10.161,0.8739995879699283,15.03613913625241,0.0011286637230404429,0.00040089903485330625,8
2128120702781492352,10.21,0.7979599527918086,14.020595515982862,0.0003495353719959114,0.00029496125931753137,3
2128120840220460544,10.67,0.8729494794542045,15.088877650362582,0.0006784574757873183,0.00047354256783093546,1
2128120908939932032,7.15,0.7692706914883694,14.509272066725208,0.0003196226384367015,0.0002916498845714941,2
2128121012019139584,10.922,1.0848792226579622,16.02536965079687,0.0013571269455948695,0.0004729939736598548,1
2128121080738610176,0.706,0.5512901920590139,13.185149657065834,2.0710824673687584e-05,0.00042583559274452166,3
2128121080738613888,28.983,1.1440372033127115,11.047605264769427,0.00048028657799449007,0.00034316907249836695,2
2128121080738614016,1.49,0.6675101562521668,13.89320361154666,4.04878437031737e-05,0.00024421683703572096,10
2128121218177579392,11.11,1.0548014807123458,15.952214737111909,0.0005778923318750925,0.0005739845105008509,1
2128121389977163904,13.416,1.5169919903914675,17.358161237578017,0.007493792818898182,0.0008965054105505058,1
2128121458695701888,12.831,1.0241479106476703,15.250795894654061,0.0009047117206634177,0.0004549846409477827,6
2128121493055456512,0.128,0.4197727133661129,11.333113527043377,0.00033419278687761724,0.0002669763891934854,3
2128121561774912128,1.826,0.616509878992904,13.621645466141088,3.740611124360225e-05,0.00023231292734402615,3
2128121561774914304,10.46,1.0841290521889242,16.0987411842421,0.00400518590347132,0.0005197894964599945,1
2128121802293106048,17.74,1.1221576399665025,10.971467223991771,0.0005199035302616188,0.00049771616487661,4
2128122004151549184,12.93,1.50914640738754,17.33328099490099,0.006712876822431452,0.0008973434107948231,3
2128122008451548672,2.5,0.5681325630356611,13.337172295525619,0.00018072322368989976,0.0002620832835740786,2
2128122038511307520,9.4,0.8391345898851803,14.835347718967176,0.0006473573828189064,0.0006214058370272212,2
2128122283329454208,10.407,0.8800559575358058,15.127432530161915,0.0003897271307274849,0.0004529238034857794,1
2128122420768295808,11.11,0.9992462245399274,15.722436244395597,0.0012614334296614093,0.00046692075692301586,2
2128124173114998272,10.811,1.1452705426462497,16.097284940677376,0.0013333903236245697,0.0005249543943484377,1
2128124585431880704,1.514,0.6758426942118927,13.946126248626582,0.0002249594602189678,0.0002366270652154498,3
2128124722870854784,6.311,1.2398860091486181,16.492730531303977,0.0033413616211969764,0.0005159255294068309,1
2128124929029257728,10.202,0.6269473533676102,13.703340608885037,0.000451392784216764,0.00023192571552378656,4
2128124963389008000,9.672,0.9685580943795244,15.538458445111845,0.00218292817738887,0.000584128053382124,2
2128125135187725696,0.916,0.5758569570693712,13.324365327829359,0.0001246810666936498,0.00022360891595269293,6
2128125165246890880,15.741,0.6904508007199475,13.622385884382345,0.0003054961886451899,0.00024332670075889607,5
2128125375705878528,12.088,0.9134095743654917,14.856020704623615,0.0005553272573883402,0.0002393515253694262,7
2128126165979845376,4.56,0.7372513456665892,14.265591235342418,0.00042900915827468215,0.00024986588276239323,3
2128127265491233280,2.87,0.7077758074410205,14.121652240272285,-0.0009101910745240487,0.0002946015871461731,2
2128128055765212416,11.02,0.9950707729950867,15.725739282885298,0.0012103210309170696,0.0006897879853806414,2
2128128360702575616,0.114,0.456143545357131,12.06015235033009,0.0003673781863377189,0.0001945047626436267,3
2128129498874247168,6.436,0.817721739294063,14.401868977505165,0.0005289161658879352,0.00027369820475647394,4
2128130186069010944,9.761,0.8204008171097268,14.879080768509393,0.00021334020262925454,0.0003026711802509973,2
2128130387927588992,12.485,1.5088406981078677,17.305443785801195,0.005127258813645331,0.0008905381302980901,2
2128130426587581440,6.35,0.7506578070847851,14.446095997653405,0.00041048030502237895,0.00031518162482525516,1
2128130976343423104,10.862,0.9154941559772727,14.978089926007932,0.00054653797990409,0.0002957586619422861,5
2128131182501394688,0.56,1.135560557649292,16.071757555227542,0.0026069399998484,0.0015344274975297144,7
2128131216861127680,2.269,0.6255860541887994,13.650878337553989,0.00043877736858304473,0.00025582710932995435,2
2128131216861484928,2.06,0.6647210009380373,13.881333484385399,0.00031279979281220456,0.00023133918173017114,2
2128131251221231360,0.521,0.4816654056265719,12.251547846309021,0.0003950509090208225,0.00019021434361154334,6
2128131285580614912,13.692,1.2950856183272812,16.834840074744044,0.004256612680679678,0.0006896929815932594,1
2128131388660198528,0.662,1.1662732847721529,15.397600462932317,0.0011030031806298353,0.0012662520617621486,1
2128131418719632000,10.71,1.1031371815990951,16.13415647968381,0.0007369606797473192,0.0005362517555949169,2
2128131938416046336,11.665,1.3656563423647743,16.574847786285318,0.004292484028927726,0.0005951709085698238,5
2128132007135507456,5.727,0.6174349708815932,13.388984651821485,0.0002587154249545164,0.0004570107578873013,3
2128132075854974336,3.434,0.6816412953592401,14.060399685778853,0.00020961677699056318,0.0003027877552559528,1
