id,MCMC,unimodal,P_median,P_lower,P_upper,P_std,e_median,e_lower,e_upper,e_std
2128105000380699136,0,0,4454.403653726173,2577.7727059640843,3672.2522854405033,2667.53314327573,0.18604059957745733,0.1426315152514048,0.32706102259962155,0.21454579773299975
2128105137819634816,0,0,3939.3696497141113,2514.6603648253895,3607.695190767859,2715.270204896053,0.1870091566462626,0.1574142561302265,0.20456295265931834,0.1920958287050387
2128105580196046464,0,0,4171.8961309508395,2688.6464488592483,3582.148817456008,2665.724395603135,0.1731290226949292,0.12536292930326243,0.2560889682421318,0.18282247479199623
2128105584489662720,0,0,16.301397031834576,15.688566795777968,103.29468422801204,962.3367633880571,0.17642325839166315,0.14632951702943237,0.2678233038756854,0.19333092474513797
2128105584496253824,0,0,2.027285144021209,1.736369310885234,6.220881604556788,8.365501164030544,0.22515424357875474,0.1657435880709235,0.21203595391901792,0.18370227095292496
2128105996813096832,0,0,4384.882464950296,3326.4502724983467,3741.7734742163802,3034.3092581276806,0.1834346274936649,0.14330669820412228,0.2507875301369578,0.19450871026197228
2128106477849445376,0,0,0.6111528608335055,0.4501277074545368,1.4781257014879237,0.9432006274339264,0.14642499190468578,0.10815334516359237,0.16166167274457893,0.15515873445491887
2128106576634345216,0,0,1.7750627150487468,1.5234815422094359,3.986911976890397,27.06839028594552,0.17804034415637535,0.14408367453356558,0.23463411622681304,0.20258921674498567
2128106649641603072,0,0,798.5901550193933,755.7564819050776,5243.214052665804,2912.790841110045,0.21570009183853553,0.15858406597833583,0.23745440590913455,0.2054422605383182
2128106851506362624,1,1,48.895473488894076,0.038493466277685684,0.03345399537310101,0.036962068777625125,0.2342493594766826,0.025672952484327716,0.027928804621240838,0.025276547392415024
2128106993240318976,0,0,184.99552710716245,182.15148429165333,2942.3351343593145,2426.8049911005705,0.18430323213210678,0.1410177886829392,0.23819547729100507,0.1880932965369345
2128107027605284736,0,0,1041.1143524883694,992.6077266007355,3832.8124448065337,2448.7481442167928,0.17231255345044524,0.12509401472579337,0.2675438691701112,0.20443459232135008
2128107474281894784,0,0,2001.6324046862942,1957.4589614471092,2628.3525635299134,2472.036028529686,0.21437613213650175,0.1567872132067259,0.26727531243988606,0.20437527029357203
2128107779219553280,0,0,1.8026783592562587,1.4795010532509303,19.87096268035195,152.45103847345106,0.15708594236192958,0.11910640789223287,0.2526683095290804,0.19228368087607067
2128108058390893312,0,0,494.38343460065266,462.8662983094988,3536.547006087805,2275.1911188627128,0.19436903683317597,0.14725804441829604,0.22796763661858055,0.18515960399621995
2128108195836395136,0,0,355.8906852389496,339.8459023057562,510.0655371440671,1208.2948796582314,0.18825471479653588,0.1473666156554262,0.2698663373622051,0.1943374770924066
2128108436354871936,0,0,3.3064713669428194,2.8537505925919158,22.906108273760122,1256.13348703596,0.5457149326324451,0.30544581025066597,0.2328120351834836,0.24607548775227842
